Type,VCPU,Memory,Storage (GB),Network Performance,EBS-Optimized,Price (USD)
m5.8xlarge,32,128.0,0,10 Gigabit,6800,N/A
r7iz.12xlarge,48,384.0,0,25 Gigabit,19000,N/A
c3.8xlarge,32,60.0,0,10 Gigabit,,N/A
im4gn.2xlarge,8,32.0,0,Up to 25 Gigabit,5000,N/A
c6a.24xlarge,96,192.0,0,37.5 Gigabit,30000,N/A
m5a.2xlarge,8,32.0,0,Up to 10 Gigabit,1580,N/A
r5dn.8xlarge,32,256.0,0,25 Gigabit,6800,N/A
r6a.metal,192,1536.0,0,50 Gigabit,40000,N/A
r6g.16xlarge,64,512.0,0,25 Gigabit,19000,N/A
is4gen.xlarge,4,24.0,0,Up to 25 Gigabit,2500,N/A
r7a.2xlarge,8,64.0,0,Up to 12.5 Gigabit,2500,N/A
g5.4xlarge,16,64.0,0,Up to 25 Gigabit,4750,N/A
c5ad.24xlarge,96,192.0,0,20 Gigabit,9500,N/A
t1.micro,1,0.6123046875,0,Very Low,,N/A
mac2-m2.metal,8,24.0,0,10 Gigabit,8000,N/A
r3.large,2,15.0,0,Moderate,,N/A
i3en.24xlarge,96,768.0,0,100 Gigabit,19000,N/A
m5dn.2xlarge,8,32.0,0,Up to 25 Gigabit,2300,N/A
hpc7g.4xlarge,16,128.0,0,200 Gigabit,87,N/A
m7gd.large,2,8.0,0,Up to 12.5 Gigabit,630,N/A
c6in.24xlarge,96,192.0,0,150 Gigabit,75000,N/A
m5a.16xlarge,64,256.0,0,12 Gigabit,9500,N/A
c7gn.xlarge,4,8.0,0,Up to 40 Gigabit,2083,N/A
t2.2xlarge,8,32.0,0,Moderate,,N/A
i2.2xlarge,8,61.0,0,High,1000,N/A
r6a.2xlarge,8,64.0,0,Up to 12.5 Gigabit,2500,N/A
c4.4xlarge,16,30.0,0,High,2000,N/A
g3.16xlarge,64,488.0,0,25 Gigabit,14000,N/A
r6in.metal,128,1024.0,0,200 Gigabit,100000,N/A
m5d.8xlarge,32,128.0,0,10 Gigabit,6800,N/A
c3.large,2,3.75,0,Moderate,,N/A
i4i.16xlarge,64,512.0,0,37.5 Gigabit,20000,N/A
r6i.xlarge,4,32.0,0,Up to 12.5 Gigabit,1250,N/A
x2gd.metal,64,1024.0,0,25 Gigabit,19000,N/A
trn1.32xlarge,128,512.0,0,8x 100 Gigabit,80000,N/A
c6gn.16xlarge,64,128.0,0,100 Gigabit,38000,N/A
r6gd.medium,1,8.0,0,Up to 10 Gigabit,315,N/A
f1.2xlarge,8,122.0,0,Up to 10 Gigabit,1700,N/A
