Type,VCPU,Memory
t1.micro,1,0.612304688
c7a.medium,1,2
c7gd.medium,1,2
r6gd.medium,1,8
r6g.medium,1,8
t4g.nano,2,0.5
c3.large,2,3.75
c5d.large,2,4
m7gd.large,2,8
m6idn.large,2,8
m5dn.large,2,8
r3.large,2,15
r6g.large,2,16
c7gn.xlarge,4,8
c6in.xlarge,4,8
c7a.xlarge,4,8
m7gd.xlarge,4,16
m6id.xlarge,4,16
m6gd.xlarge,4,16
m5d.xlarge,4,16
is4gen.xlarge,4,24
r6i.xlarge,4,32
r6a.xlarge,4,32
r5a.xlarge,4,32
r7a.xlarge,4,32
c7i.2xlarge,8,16
c5n.2xlarge,8,21
mac2-m2.metal,8,24
im4gn.2xlarge,8,32
m5a.2xlarge,8,32
m5dn.2xlarge,8,32
t2.2xlarge,8,32
m5zn.2xlarge,8,32
d3en.2xlarge,8,32
m6id.2xlarge,8,32
m6a.2xlarge,8,32
g5.2xlarge,8,32
i2.2xlarge,8,61
r7a.2xlarge,8,64
r6a.2xlarge,8,64
r6gd.2xlarge,8,64
r5a.2xlarge,8,64
m2.4xlarge,8,68.39941406
f1.2xlarge,8,122
x1e.2xlarge,8,244
x2iedn.2xlarge,8,256
i3en.3xlarge,12,96
c4.4xlarge,16,30
c6i.4xlarge,16,32
g5.4xlarge,16,64
m7g.4xlarge,16,64
m4.4xlarge,16,64
m6gd.4xlarge,16,64
is4gen.4xlarge,16,96
hpc7g.4xlarge,16,128
x2iezn.4xlarge,16,512
c3.8xlarge,32,60
c6id.8xlarge,32,64
c7g.8xlarge,32,64
m5.8xlarge,32,128
m5d.8xlarge,32,128
r5dn.8xlarge,32,256
r7iz.8xlarge,32,256
x2gd.8xlarge,32,512
x1e.8xlarge,32,976
m5ad.12xlarge,48,192
m6gd.12xlarge,48,192
m5dn.12xlarge,48,192
r7iz.12xlarge,48,384
i3en.12xlarge,48,384
r5n.12xlarge,48,384
c6gn.16xlarge,64,128
c7gn.16xlarge,64,128
c6gd.metal,64,128
c6a.16xlarge,64,128
m5a.16xlarge,64,256
m5n.16xlarge,64,256
m7i.16xlarge,64,256
m7gd.16xlarge,64,256
g3.16xlarge,64,488
r6g.16xlarge,64,512
i4i.16xlarge,64,512
r6id.16xlarge,64,512
r7iz.16xlarge,64,512
r6idn.16xlarge,64,512
x2gd.metal,64,1024
c6a.24xlarge,96,192
c5ad.24xlarge,96,192
c6in.24xlarge,96,192
m7i.metal-24xl,96,384
i3en.24xlarge,96,768
r5.24xlarge,96,768
r6in.24xlarge,96,768
c6i.32xlarge,128,256
trn1.32xlarge,128,512
r6in.metal,128,1024
r7a.32xlarge,128,1024
c6a.48xlarge,192,384
inf2.48xlarge,192,768
r6a.metal,192,1536
